field_id,year,hectares,modis,pixels,burned_pixels,days_burned,num_burned
003006801500042,,300.524,h13v10,14,,,
003006801800035,,128.796,h13v10,6,,,
003006801800036,,171.728,h13v10,8,,,
003006801800037,,171.728,h13v10,8,,,
003006801800038,,171.728,h13v10,8,,,
003006801800039,,171.728,h13v10,8,,,
003006801800040,,171.728,h13v10,8,,,
003006801800041,,171.728,h13v10,8,,,
003006801800042,,128.796,h13v10,6,,,
003006801800043,,171.728,h13v10,8,,,
003006801900160,,171.728,h13v10,8,,,
003006801900161,,171.728,h13v10,8,,,
003006801900162,,128.796,h13v10,6,,,
003006801900163,,128.796,h13v10,6,,,
003006801900164,,85.864,h13v10,4,,,
003006802100114,,343.456,h13v10,16,,,
003006802100115,,214.660,h13v10,10,,,
003006802100116,,171.728,h13v10,8,,,
003006802100117,,85.864,h13v10,4,,,
003006802200043,,214.660,h13v10,10,,,
003006802402014,,300.524,h13v10,14,,,
003006802502014,,171.728,h13v10,8,,,
003006802600044,,128.796,h13v10,6,,,
003006802702014,,257.592,h13v10,12,,,
004005200100001,,343.456,h13v10,16,,,
004005200200010,,171.728,h13v10,8,,,
004005200200011,,171.728,h13v10,8,,,
004005200200012,,128.796,h13v10,6,,,
004005200200013,,85.864,h13v10,4,,,
004005200200014,,128.796,h13v10,6,,,
004005200200015,,171.728,h13v10,8,,,
004005200200016,,128.796,h13v10,6,,,
004005200200017,,128.796,h13v10,6,,,
004005200200018,,171.728,h13v10,8,,,
004005200200019,,171.728,h13v10,8,,,
004005200200020,,128.796,h13v10,6,,,
004005200200021,,42.932,h13v10,2,,,
004005200300022,,300.524,h13v10,14,,,
004005200300023,,257.592,h13v10,12,,,
004005200300024,,300.524,h13v10,14,,,
004005200300025,,257.592,h13v10,12,,,
004005200402014,,472.252,h13v10,22,,,
004005200500026,,128.796,h13v10,6,,,
004005200600027,,257.592,h13v10,12,,,
004005200700063,,128.796,h13v10,6,,,
004005200700064,,214.660,h13v10,10,,,
004005200700065,,171.728,h13v10,8,,,
004005200700066,,171.728,h13v10,8,,,
004005200700067,,42.932,h13v10,2,,,
004005200700068,,257.592,h13v10,12,,,
004005200700069,,171.728,h13v10,8,,,
004005200900031,,257.592,h13v10,12,,,
004005201000034,,214.660,h13v10,10,,,
004005201100032,,171.728,h13v10,8,,,
004005201100033,,128.796,h13v10,6,,,
004009800900009,,171.728,h13v10,8,,,
004009800900010,,85.864,h13v10,4,,,
004009801000012,,85.864,h13v10,4,,,
004010300100002,,85.864,h13v10,4,,,
004010300100003,,85.864,h13v10,4,,,
004010300100004,,171.728,h13v10,8,,,
004010300100005,,85.864,h13v10,4,,,
004010300200001,,128.796,h13v10,6,,,
005003600100001,,386.388,h13v10,18,,,
005003600200002,,214.660,h13v10,10,,,
005003600300004,,128.796,h13v10,6,,,
005008600100001,,85.864,h13v10,4,,,
