"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
952,55,"CRI","Costa Rica",1,"Alajuela","","","Provincia","Province"
953,55,"CRI","Costa Rica",2,"Cartago","","","Provincia","Province"
954,55,"CRI","Costa Rica",3,"Guanacaste","","","Provincia","Province"
955,55,"CRI","Costa Rica",4,"Heredia","","","Provincia","Province"
956,55,"CRI","Costa Rica",5,"Limón","","Puerto Lim¢n","Provincia","Province"
957,55,"CRI","Costa Rica",6,"Puntarenas","","","Provincia","Province"
958,55,"CRI","Costa Rica",7,"San José","","","Provincia","Province"
